,asp,slope,int
652,0.425438446,0.000581986,0.620833532
653,0.439354542,0.000368956,0.618934498
654,0.420011431,0.000562679,0.602517902
655,0.441385295,0.000600771,0.642561215
656,0.517067672,0.000283141,0.774805936
657,0.453070579,0.000504494,0.657518707
658,0.447002651,0.000293058,0.633297185
659,0.461259909,0.000428802,0.663866346
660,0.473387892,0.000428211,0.688986692
661,0.414068207,0.000617349,0.598225526
662,0.466451238,0.000444915,0.680882676
663,0.49316111,0.000354639,0.729012595
664,0.472107087,0.000313803,0.677924025
665,0.436519342,0.000556818,0.629217566
666,0.44642799,0.000469515,0.64622839
667,0.43990863,0.000494436,0.631968774
668,0.39217831,0.000664112,0.565225141
669,0.465463329,0.000419379,0.679159559
670,0.491643512,0.000272984,0.71133835
671,0.452356737,0.00038605,0.65083773
672,0.4436687,0.000480156,0.632106351
673,0.461416422,0.000387996,0.666349995
674,0.332310115,0.000967773,0.476620962
675,0.454838553,0.000482359,0.659707601
676,0.454212963,0.000398266,0.646453477
677,0.476013923,0.000263692,0.685893329
678,0.443668418,0.00048406,0.629872288
679,0.427075878,0.00056371,0.607884886
680,0.435574822,0.000576049,0.624632231
681,0.38368182,0.000735284,0.543814728
682,0.465645977,0.000418286,0.677449319
683,0.456007427,0.000452713,0.660750952
684,0.471625352,0.000323823,0.687074684
685,0.416634228,0.000619289,0.596439995
686,0.415387815,0.000547476,0.583439627
687,0.437602162,0.000461906,0.61992769
688,0.413185586,0.000591048,0.588701965
689,0.425846303,0.00051525,0.607419654
690,0.389967144,0.000602814,0.551619162
691,0.481924777,0.000347695,0.699666632
692,0.373909614,0.000114375,0.49064983
693,0.47433352,0.000399684,0.682973223
694,0.421232824,0.000509828,0.592722402
695,0.445166875,0.000193261,0.620094552
696,0.435294427,0.00049417,0.630467514
697,0.463832313,0.000331197,0.657118482
698,0.470285458,0.000347745,0.685348918
699,0.453833067,0.000532795,0.664710857
700,0.352817485,0.00066885,0.501790319
701,0.458543602,0.000352332,0.65561371
702,0.435260332,0.000495481,0.639031204
703,0.468175413,0.000436154,0.687663328
704,0.399163519,0.000625933,0.563063854
705,0.446725984,0.000445218,0.641432814
706,0.403899487,0.000688892,0.581764841
707,0.423133389,0.00058438,0.614383078
708,0.456455124,0.00043934,0.655580617
709,0.479709463,0.000390204,0.702348456
710,0.432796891,0.000522577,0.620324369
711,0.414666012,0.000595401,0.607019152
712,0.428924494,0.000485053,0.616954614
713,0.480269434,0.000348464,0.689308823
714,0.429252342,0.000590409,0.62372642
715,0.499148295,0.000302299,0.728843524
716,0.47033945,0.000494621,0.690381508
717,0.483700756,0.000331884,0.70025398
718,0.459555805,0.00037754,0.668918289
719,0.41814476,0.000499333,0.585790027
720,0.403960904,0.000639812,0.576021172
721,0.411790831,0.000556611,0.589883309
722,0.487515689,0.000376668,0.72181271
723,0.386776958,0.000758171,0.53922014
724,0.443134947,0.000475127,0.636200642
725,0.460135836,0.000491849,0.677945592
